,date,money,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,2017-04-01,47370.0,1,4573,29.0,0.16,45.0,0.451,1,45.0,4,3601,47.0,0.19,63.0,0.18100000000000002,1,24.0,2,3800,43.0,0.16,52.0,0.376,1,65.0,3,4574,29.0,0.21,73.0,0.27699999999999997,1,34.0,2,3417,48.0,0.16,72.0,0.159,1,19.0,2,4926,24.0,0.15,67.0,0.077,1,58.0,2,103
,2017-04-01,500.0,2,4258,34.0,0.2,36.0,0.32299999999999995,1,52.0,2,4434,31.0,0.17,37.0,0.302,1,75.0,2,3714,43.0,0.16,76.0,0.255,1,68.0,2,3998,38.0,0.18,74.0,0.314,1,69.0,2,3566,47.0,0.2,40.0,0.341,1,30.0,3,4603,29.0,0.17,32.0,0.248,1,43.0,2,2
,2017-04-01,1430.0,3,4215,33.0,0.16,33.0,0.371,1,28.0,3,3471,47.0,0.2,59.0,0.209,1,67.0,2,4430,32.0,0.16,34.0,0.485,1,50.0,4,3561,49.0,0.19,48.0,0.222,1,76.0,2,3773,43.0,0.17,43.0,0.284,1,41.0,2,3833,43.0,0.13,66.0,0.506,1,71.0,4,44
,2017-04-01,440.0,4,4678,29.0,0.23,60.0,0.18600000000000003,0,44.0,2,4694,32.0,0.2,35.0,0.258,0,64.0,2,3932,41.0,0.17,46.0,0.322,0,11.0,2,4830,22.0,0.22,61.0,0.111,0,15.0,1,4924,25.0,0.17,64.0,0.085,0,46.0,2,4882,22.0,0.19,50.0,0.21600000000000003,0,66.0,2,5
,2017-04-01,7190.0,5,3918,43.0,0.16,70.0,0.391,1,27.0,3,4241,32.0,0.17,57.0,0.382,1,54.0,3,4329,34.0,0.18,41.0,0.262,1,16.0,2,4438,31.0,0.18,65.0,0.204,1,21.0,2,3601,47.0,0.19,63.0,0.18100000000000002,1,24.0,2,4926,24.0,0.15,67.0,0.077,1,58.0,2,7
,2017-04-01,5420.0,6,4469,30.0,0.17,38.0,0.34600000000000003,1,48.0,2,4574,29.0,0.21,73.0,0.27699999999999997,1,34.0,2,3417,48.0,0.16,72.0,0.159,1,19.0,2,3714,43.0,0.16,76.0,0.255,1,68.0,2,4786,29.0,0.12,62.0,0.37,1,33.0,3,3443,48.0,0.18,44.0,0.361,1,73.0,3,43
,2017-04-01,800.0,7,4402,32.0,0.16,56.0,0.435,1,22.0,3,4120,36.0,0.17,69.0,0.428,1,74.0,3,4603,29.0,0.17,32.0,0.248,1,43.0,2,3800,43.0,0.16,52.0,0.376,1,65.0,3,3561,49.0,0.19,48.0,0.222,1,76.0,2,3265,52.0,0.16,55.0,0.561,1,31.0,3,2
,2017-04-01,1400.0,8,4464,31.0,0.16,47.0,0.389,0,47.0,3,4830,22.0,0.22,61.0,0.111,0,15.0,1,4882,22.0,0.19,50.0,0.21600000000000003,0,66.0,2,3932,41.0,0.17,46.0,0.322,0,11.0,2,4678,29.0,0.23,60.0,0.18600000000000003,0,44.0,2,4924,25.0,0.17,64.0,0.085,0,46.0,2,73
,2017-04-01,16140.0,9,4786,29.0,0.12,62.0,0.37,1,33.0,3,3773,43.0,0.17,43.0,0.284,1,41.0,2,4241,32.0,0.17,57.0,0.382,1,54.0,3,4329,34.0,0.18,41.0,0.262,1,16.0,2,4573,29.0,0.16,45.0,0.451,1,45.0,4,4434,31.0,0.17,37.0,0.302,1,75.0,2,117
,2017-04-01,1820.0,10,3443,48.0,0.18,44.0,0.361,1,73.0,3,3918,43.0,0.16,70.0,0.391,1,27.0,3,3998,38.0,0.18,74.0,0.314,1,69.0,2,4430,32.0,0.16,34.0,0.485,1,50.0,4,4694,32.0,0.2,35.0,0.258,0,64.0,2,4402,32.0,0.16,56.0,0.435,1,22.0,3,5
