,date,money,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,2012-04-01,920.0,1,3826,39.0,0.18,49.0,0.445,1,12.0,4,3936,35.0,0.19,24.0,0.295,1,63.0,2,2959,54.0,0.21,75.0,0.247,1,11.0,2,4640,21.0,0.16,41.0,0.02,1,29.0,1,4635,22.0,0.14,27.0,0.057,1,22.0,1,4632,23.0,0.18,45.0,0.03,1,49.0,1,6
,2012-04-01,460.0,2,2958,55.0,0.18,68.0,0.39,1,33.0,3,3478,42.0,0.17,18.0,0.34,1,43.0,2,3636,42.0,0.18,67.0,0.252,1,46.0,2,3660,43.0,0.19,55.0,0.266,1,76.0,2,4554,23.0,0.18,31.0,0.114,1,16.0,2,3561,44.0,0.2,46.0,0.18600000000000003,1,59.0,2,2
,2012-04-01,5210.0,3,3428,45.0,0.19,54.0,0.33299999999999996,1,40.0,2,4253,29.0,0.2,29.0,0.27,1,54.0,2,4185,32.0,0.19,58.0,0.16,1,65.0,2,3883,39.0,0.18,20.0,0.267,1,24.0,2,3073,50.0,0.17,38.0,0.252,1,34.0,2,4331,29.0,0.17,34.0,0.245,1,32.0,2,10
,2012-04-01,970.0,4,4047,32.0,0.16,74.0,0.33899999999999997,1,48.0,3,3679,39.0,0.16,66.0,0.562,1,21.0,4,3670,41.0,0.16,64.0,0.467,1,53.0,3,3224,47.0,0.16,13.0,0.373,1,56.0,2,4010,33.0,0.2,51.0,0.188,1,20.0,2,4391,26.0,0.19,65.0,0.483,1,61.0,4,2
,2012-04-01,2940.0,6,3866,37.0,0.15,43.0,0.344,1,30.0,3,3636,42.0,0.18,67.0,0.252,1,46.0,2,3313,47.0,0.17,12.0,0.349,1,38.0,3,4136,32.0,0.15,56.0,0.49200000000000005,1,47.0,4,3694,41.0,0.17,17.0,0.38,1,41.0,3,2974,55.0,0.18,22.0,0.257,1,25.0,2,73
,2012-04-01,2930.0,7,3818,41.0,0.15,44.0,0.114,1,75.0,2,4033,34.0,0.16,50.0,0.503,1,45.0,4,3319,45.0,0.16,61.0,0.41700000000000004,1,66.0,3,4342,28.0,0.16,47.0,0.43799999999999994,1,23.0,3,2959,54.0,0.21,75.0,0.247,1,11.0,2,3660,43.0,0.19,55.0,0.266,1,76.0,2,32
,2012-04-01,17640.0,8,4185,32.0,0.19,58.0,0.16,1,65.0,2,4101,33.0,0.17,23.0,0.527,1,15.0,4,4010,33.0,0.2,51.0,0.188,1,20.0,2,3936,35.0,0.19,24.0,0.295,1,63.0,2,3278,46.0,0.15,52.0,0.48,1,74.0,4,4393,26.0,0.21,25.0,0.359,1,64.0,2,4
,2012-04-01,470.0,9,3670,41.0,0.16,64.0,0.467,1,53.0,3,3685,38.0,0.15,30.0,0.42700000000000005,1,55.0,4,2958,55.0,0.18,68.0,0.39,1,33.0,3,3073,50.0,0.17,38.0,0.252,1,34.0,2,4632,23.0,0.18,45.0,0.03,1,49.0,1,3989,34.0,0.23,62.0,0.213,1,35.0,2,21
,2012-04-01,1240.0,10,4033,34.0,0.16,50.0,0.503,1,45.0,4,4047,32.0,0.16,74.0,0.33899999999999997,1,48.0,3,3694,41.0,0.17,17.0,0.38,1,41.0,3,3826,39.0,0.18,49.0,0.445,1,12.0,4,3781,36.0,0.17,70.0,0.33,1,31.0,2,2904,53.0,0.2,32.0,0.222,1,19.0,2,6
,2012-04-01,1080.0,11,4101,33.0,0.17,23.0,0.527,1,15.0,4,4136,32.0,0.15,56.0,0.49200000000000005,1,47.0,4,3753,41.0,0.18,21.0,0.408,1,28.0,3,3354,44.0,0.18,59.0,0.293,1,71.0,2,3319,45.0,0.16,61.0,0.41700000000000004,1,66.0,3,3224,47.0,0.16,13.0,0.373,1,56.0,2,1
,2012-04-01,1810.0,12,3679,39.0,0.16,66.0,0.562,1,21.0,4,3473,42.0,0.15,28.0,0.698,1,39.0,4,3685,38.0,0.15,30.0,0.42700000000000005,1,55.0,4,2974,55.0,0.18,22.0,0.257,1,25.0,2,4342,28.0,0.16,47.0,0.43799999999999994,1,23.0,3,3313,47.0,0.17,12.0,0.349,1,38.0,3,14
,2012-04-02,1630.0,1,3278,46.0,0.15,52.0,0.48,1,67.0,4,3883,39.0,0.18,20.0,0.267,1,24.0,2,3073,50.0,0.17,38.0,0.252,1,34.0,2,4010,33.0,0.2,51.0,0.188,1,20.0,2,3989,34.0,0.23,62.0,0.213,1,35.0,2,3636,42.0,0.18,67.0,0.252,1,46.0,2,11
,2012-04-02,1990.0,2,3670,41.0,0.16,64.0,0.467,1,53.0,3,3660,43.0,0.19,55.0,0.266,1,76.0,2,2904,53.0,0.2,32.0,0.222,1,19.0,2,4391,26.0,0.19,65.0,0.483,1,61.0,4,4632,23.0,0.18,45.0,0.03,1,62.0,1,2959,54.0,0.21,75.0,0.247,1,11.0,2,6
,2012-04-02,1710.0,3,4331,29.0,0.17,34.0,0.245,1,32.0,2,3781,36.0,0.17,70.0,0.33,1,31.0,2,4253,29.0,0.2,29.0,0.27,1,54.0,2,3224,47.0,0.16,13.0,0.373,1,56.0,2,4554,23.0,0.18,31.0,0.114,1,16.0,2,3936,35.0,0.19,24.0,0.295,1,63.0,2,5
,2012-04-02,6040.0,4,4185,32.0,0.19,58.0,0.16,1,65.0,2,3866,37.0,0.15,43.0,0.344,1,30.0,3,3319,45.0,0.16,61.0,0.41700000000000004,1,66.0,3,4393,26.0,0.21,25.0,0.359,1,64.0,2,3685,38.0,0.15,30.0,0.42700000000000005,1,55.0,4,2958,55.0,0.18,68.0,0.39,1,33.0,3,81
,2012-04-02,1200.0,5,4342,28.0,0.16,47.0,0.43799999999999994,1,23.0,3,3561,44.0,0.2,46.0,0.18600000000000003,1,59.0,2,2974,55.0,0.18,22.0,0.257,1,25.0,2,3354,44.0,0.18,59.0,0.293,1,71.0,2,3826,39.0,0.18,49.0,0.445,1,12.0,4,4635,22.0,0.14,27.0,0.057,1,22.0,1,11
,2012-04-02,36560.0,6,3313,47.0,0.17,12.0,0.349,1,38.0,3,3694,41.0,0.17,17.0,0.38,1,41.0,3,3478,42.0,0.17,18.0,0.34,1,43.0,2,4033,34.0,0.16,50.0,0.503,1,45.0,4,4136,32.0,0.15,56.0,0.49200000000000005,1,47.0,4,4640,21.0,0.16,41.0,0.02,1,29.0,1,53
,2012-04-02,3320.0,7,3428,45.0,0.19,54.0,0.33299999999999996,1,40.0,2,3473,42.0,0.15,28.0,0.698,1,39.0,4,4393,26.0,0.21,25.0,0.359,1,64.0,2,2904,53.0,0.2,32.0,0.222,1,19.0,2,3679,39.0,0.16,66.0,0.562,1,21.0,4,3753,41.0,0.18,21.0,0.408,1,28.0,3,22
,2012-04-02,1410.0,8,3818,41.0,0.15,44.0,0.114,1,75.0,2,3354,44.0,0.18,59.0,0.293,1,71.0,2,4047,32.0,0.16,74.0,0.33899999999999997,1,48.0,3,3866,37.0,0.15,43.0,0.344,1,30.0,3,4101,33.0,0.17,23.0,0.527,1,15.0,4,4058,33.0,0.24,37.0,0.23800000000000002,1,50.0,2,92
,2012-04-02,26920.0,9,4033,34.0,0.16,50.0,0.503,1,45.0,4,2958,55.0,0.18,68.0,0.39,1,33.0,3,3826,39.0,0.18,49.0,0.445,1,12.0,4,3660,43.0,0.19,55.0,0.266,1,76.0,2,3883,39.0,0.18,20.0,0.267,1,24.0,2,4185,32.0,0.19,58.0,0.16,1,65.0,2,24
,2012-04-02,410.0,11,3685,38.0,0.15,30.0,0.42700000000000005,1,55.0,4,4136,32.0,0.15,56.0,0.49200000000000005,1,47.0,4,3694,41.0,0.17,17.0,0.38,1,41.0,3,3781,36.0,0.17,70.0,0.33,1,31.0,2,3670,41.0,0.16,64.0,0.467,1,53.0,3,3428,45.0,0.19,54.0,0.33299999999999996,1,40.0,2,1
,2012-04-02,490.0,12,4101,33.0,0.17,23.0,0.527,1,15.0,4,2974,55.0,0.18,22.0,0.257,1,25.0,2,3473,42.0,0.15,28.0,0.698,1,39.0,4,3478,42.0,0.17,18.0,0.34,1,43.0,2,3278,46.0,0.15,52.0,0.48,1,67.0,4,3818,41.0,0.15,44.0,0.114,1,75.0,2,7
,2012-04-04,1220.0,1,3473,42.0,0.15,28.0,0.698,1,39.0,4,3936,35.0,0.19,24.0,0.295,1,63.0,2,3561,44.0,0.2,46.0,0.18600000000000003,1,59.0,2,2959,54.0,0.21,75.0,0.247,1,11.0,2,4554,23.0,0.18,31.0,0.114,1,16.0,2,4640,21.0,0.16,41.0,0.02,1,29.0,1,2
,2012-04-04,1130.0,2,3826,39.0,0.18,49.0,0.445,1,12.0,4,3989,34.0,0.23,62.0,0.213,1,35.0,2,4058,33.0,0.24,37.0,0.23800000000000002,1,50.0,2,3753,41.0,0.18,21.0,0.408,1,28.0,3,2904,53.0,0.2,32.0,0.222,1,19.0,2,4635,22.0,0.14,27.0,0.057,1,22.0,1,5
,2012-04-04,1090.0,3,2974,55.0,0.18,22.0,0.257,1,25.0,2,3636,42.0,0.18,67.0,0.252,1,46.0,2,4253,29.0,0.2,29.0,0.27,1,54.0,2,3818,41.0,0.15,44.0,0.114,1,75.0,2,3073,50.0,0.17,38.0,0.252,1,34.0,2,4632,23.0,0.18,45.0,0.03,1,62.0,1,5
