,money,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,7060.0,2.0,3235.0,57.0,0.19,37.0,0.215,1,33.0,2,3741.0,45.0,0.2,49.0,0.158,1,59.0,2,4776.0,26.0,0.16,48.0,0.418,1,23.0,4,3281.0,52.0,0.22,64.0,0.115,1,22.0,2,3708.0,45.0,0.17,52.0,0.361,1,55.0,3,3792.0,47.0,0.17,55.0,0.405,1,20.0,4,47.0
,1190.0,3.0,3757.0,48.0,0.18,45.0,0.313,1,49.0,2,4309.0,35.0,0.19,59.0,0.096,1,45.0,2,4008.0,40.0,0.18,17.0,0.531,1,67.0,4,4236.0,36.0,0.14,44.0,0.436,1,62.0,4,3687.0,50.0,0.16,74.0,0.396,1,21.0,3,4122.0,38.0,0.16,15.0,0.284,1,52.0,2,10.0
,690.0,4.0,4254.0,36.0,0.16,47.0,0.379,1,53.0,3,3815.0,43.0,0.16,71.0,0.41600000000000004,1,35.0,3,3784.0,43.0,0.15,66.0,0.384,1,57.0,3,4129.0,39.0,0.18,72.0,0.25,1,54.0,2,4355.0,36.0,0.21,46.0,0.23600000000000002,1,63.0,2,3876.0,42.0,0.15,39.0,0.42200000000000004,1,75.0,3,4.0
,4920.0,5.0,4855.0,23.0,0.14,56.0,0.27,1,43.0,2,3353.0,51.0,0.17,61.0,0.371,1,60.0,3,4711.0,29.0,0.14,30.0,0.324,1,16.0,3,3743.0,45.0,0.14,18.0,0.601,1,36.0,4,4113.0,39.0,0.18,38.0,0.326,1,11.0,3,4713.0,29.0,0.14,31.0,0.449,1,27.0,4,7.0
,10370.0,6.0,4003.0,42.0,0.17,67.0,0.32,1,34.0,3,4078.0,41.0,0.21,35.0,0.262,1,69.0,2,4086.0,39.0,0.15,41.0,0.43,1,72.0,3,4094.0,38.0,0.2,73.0,0.191,1,40.0,2,4072.0,38.0,0.15,60.0,0.525,1,47.0,4,3741.0,45.0,0.2,49.0,0.158,1,59.0,2,83.0
,26340.0,7.0,4257.0,36.0,0.14,27.0,0.384,1,37.0,3,4241.0,34.0,0.17,54.0,0.252,1,28.0,2,3235.0,57.0,0.19,37.0,0.215,1,33.0,2,4309.0,35.0,0.19,59.0,0.096,1,45.0,2,4666.0,36.0,0.13,57.0,0.361,1,51.0,2,4350.0,33.0,0.14,24.0,0.528,1,50.0,4,64.0
,880.0,8.0,3687.0,50.0,0.16,74.0,0.396,1,21.0,3,4465.0,33.0,0.19,22.0,0.182,1,68.0,2,4028.0,41.0,0.14,63.0,0.579,1,38.0,4,3870.0,44.0,0.17,70.0,0.306,1,56.0,2,4836.0,31.0,0.15,58.0,0.32899999999999996,1,29.0,2,3508.0,48.0,0.19,43.0,0.287,1,39.0,2,6.0
,1120.0,9.0,4067.0,39.0,0.15,11.0,0.568,1,58.0,4,4008.0,40.0,0.18,17.0,0.531,1,67.0,4,4855.0,23.0,0.14,56.0,0.27,1,43.0,2,3815.0,43.0,0.16,71.0,0.41600000000000004,1,35.0,3,4776.0,26.0,0.16,48.0,0.418,1,23.0,4,3711.0,45.0,0.17,75.0,0.335,1,71.0,3,9.0
,13130.0,10.0,3743.0,45.0,0.14,18.0,0.601,1,36.0,4,3784.0,43.0,0.15,66.0,0.384,1,57.0,3,3708.0,45.0,0.17,52.0,0.361,1,55.0,3,3757.0,48.0,0.18,45.0,0.313,1,49.0,2,4003.0,42.0,0.17,67.0,0.32,1,34.0,3,4594.0,38.0,0.14,16.0,0.451,1,32.0,4,67.0
,840.0,11.0,4072.0,38.0,0.15,60.0,0.525,1,47.0,4,4122.0,38.0,0.16,15.0,0.284,1,52.0,2,3792.0,47.0,0.17,55.0,0.405,1,20.0,4,4254.0,36.0,0.16,47.0,0.379,1,53.0,3,4711.0,29.0,0.14,30.0,0.324,1,16.0,3,3904.0,42.0,0.18,62.0,0.369,1,12.0,3,5.0
