,date,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,2019-04-10,2,3235,57.0,0.19,37.0,0.215,1,33.0,2,3741,45.0,0.2,49.0,0.158,1,59.0,2,4776,26.0,0.16,48.0,0.418,1,23.0,4,3281,52.0,0.22,64.0,0.115,1,22.0,2,3708,45.0,0.17,52.0,0.361,1,55.0,3,3792,47.0,0.17,55.0,0.405,1,20.0,4,47
,2019-04-10,3,3757,48.0,0.18,45.0,0.313,1,49.0,2,4309,35.0,0.19,59.0,0.096,1,45.0,2,4008,40.0,0.18,17.0,0.531,1,67.0,4,4236,36.0,0.14,44.0,0.436,1,62.0,4,3687,50.0,0.16,74.0,0.396,1,21.0,3,4122,38.0,0.16,15.0,0.284,1,52.0,2,10
,2019-04-10,4,4254,36.0,0.16,47.0,0.379,1,53.0,3,3815,43.0,0.16,71.0,0.41600000000000004,1,35.0,3,3784,43.0,0.15,66.0,0.384,1,57.0,3,4129,39.0,0.18,72.0,0.25,1,54.0,2,4355,36.0,0.21,46.0,0.23600000000000002,1,63.0,2,3876,42.0,0.15,39.0,0.42200000000000004,1,75.0,3,4
,2019-04-10,5,4855,23.0,0.14,56.0,0.27,1,43.0,2,3353,51.0,0.17,61.0,0.371,1,60.0,3,4711,29.0,0.14,30.0,0.324,1,16.0,3,3743,45.0,0.14,18.0,0.601,1,36.0,4,4113,39.0,0.18,38.0,0.326,1,11.0,3,4713,29.0,0.14,31.0,0.449,1,27.0,4,7
,2019-04-10,6,4003,42.0,0.17,67.0,0.32,1,34.0,3,4078,41.0,0.21,35.0,0.262,1,69.0,2,4086,39.0,0.15,41.0,0.43,1,72.0,3,4094,38.0,0.2,73.0,0.191,1,40.0,2,4072,38.0,0.15,60.0,0.525,1,47.0,4,3741,45.0,0.2,49.0,0.158,1,59.0,2,83
,2019-04-10,7,4257,36.0,0.14,27.0,0.384,1,37.0,3,4241,34.0,0.17,54.0,0.252,1,28.0,2,3235,57.0,0.19,37.0,0.215,1,33.0,2,4309,35.0,0.19,59.0,0.096,1,45.0,2,4666,36.0,0.13,57.0,0.361,1,51.0,2,4350,33.0,0.14,24.0,0.528,1,50.0,4,64
,2019-04-10,8,3687,50.0,0.16,74.0,0.396,1,21.0,3,4465,33.0,0.19,22.0,0.182,1,68.0,2,4028,41.0,0.14,63.0,0.579,1,38.0,4,3870,44.0,0.17,70.0,0.306,1,56.0,2,4836,31.0,0.15,58.0,0.32899999999999996,1,29.0,2,3508,48.0,0.19,43.0,0.287,1,39.0,2,6
,2019-04-10,9,4067,39.0,0.15,11.0,0.568,1,58.0,4,4008,40.0,0.18,17.0,0.531,1,67.0,4,4855,23.0,0.14,56.0,0.27,1,43.0,2,3815,43.0,0.16,71.0,0.41600000000000004,1,35.0,3,4776,26.0,0.16,48.0,0.418,1,23.0,4,3711,45.0,0.17,75.0,0.335,1,71.0,3,9
,2019-04-10,10,3743,45.0,0.14,18.0,0.601,1,36.0,4,3784,43.0,0.15,66.0,0.384,1,57.0,3,3708,45.0,0.17,52.0,0.361,1,55.0,3,3757,48.0,0.18,45.0,0.313,1,49.0,2,4003,42.0,0.17,67.0,0.32,1,34.0,3,4594,38.0,0.14,16.0,0.451,1,32.0,4,67
,2019-04-10,11,4072,38.0,0.15,60.0,0.525,1,47.0,4,4122,38.0,0.16,15.0,0.284,1,52.0,2,3792,47.0,0.17,55.0,0.405,1,20.0,4,4254,36.0,0.16,47.0,0.379,1,53.0,3,4711,29.0,0.14,30.0,0.324,1,16.0,3,3904,42.0,0.18,62.0,0.369,1,12.0,3,5
